"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2612","valid search returns matching products","chromium","2026-07-07","passed","2026-07-07","Search","smoke/search.smoke.spec.ts","",""
"","31490","updating quantity keeps the product and re-renders totals","webkit","2026-07-07","failed","2026-07-07","Cart management","regression/cart.regression.spec.ts","",""
"","1386","home page loads with featured products","webkit","2026-07-07","failed","2026-07-07","Home","smoke/home.smoke.spec.ts","",""
"","7176","edit-account page is reachable when authenticated","chromium","2026-07-07","passed","2026-07-07","Account session","regression/account.regression.spec.ts","",""
"","4638","a product can be added to and removed from the wishlist","chromium","2026-07-07","passed","2026-07-07","Wishlist","regression/wishlist.regression.spec.ts","",""
"","4400","a product can be searched and added to the cart","chromium","2026-07-07","passed","2026-07-07","Cart","smoke/cart.smoke.spec.ts","",""
"","5941","registering with an already-used email is rejected","chromium","2026-07-07","passed","2026-07-07","Registration validation","regression/register.negative.regression.spec.ts","",""
"","31358","registering with an already-used email is rejected","webkit","2026-07-07","failed","2026-07-07","Registration validation","regression/register.negative.regression.spec.ts","",""
"","32173","invalid credentials are rejected with a warning","firefox","2026-07-07","failed","2026-07-07","Login","smoke/login.smoke.spec.ts","",""
"","4302","switching currency updates the product price symbol","chromium","2026-07-07","passed","2026-07-07","Currency","regression/currency.regression.spec.ts","",""
"","32126","nonsense search shows the no-results state","firefox","2026-07-07","failed","2026-07-07","Search","smoke/search.smoke.spec.ts","",""
"","32442","a registered user reaches the dashboard and can log out","firefox","2026-07-07","failed","2026-07-07","Account session","regression/account.regression.spec.ts","",""
"","32116","valid search returns matching products","firefox","2026-07-07","failed","2026-07-07","Search","smoke/search.smoke.spec.ts","",""
"","31418","valid search returns matching products","webkit","2026-07-07","failed","2026-07-07","Search","smoke/search.smoke.spec.ts","",""
